('12:48:35', '12:48:35', '0.6467084884643555')
('12:48:38', '12:48:38', '0.5896322727203369')
('12:48:41', '12:48:41', '0.5650672912597656')
('12:48:44', '12:48:44', '0.5600521564483643')
('12:48:47', '12:48:47', '0.5656442642211914')
('12:48:50', '12:48:50', '0.52567458152771')
('12:48:53', '12:48:53', '0.6024551391601562')
('12:50:21', '12:50:21', '0.6116094589233398')
('12:50:24', '12:50:24', '0.5067803859710693')
('12:50:27', '12:50:27', '0.6543974876403809')
('12:50:30', '12:50:30', '0.50168776512146')
('12:50:32', '12:50:32', '0.5568621158599854')
('12:50:35', '12:50:35', '0.6161401271820068')
('12:50:38', '12:50:38', '0.49150538444519043')
('12:50:41', '12:50:41', '0.5403728485107422')
('12:50:44', '12:50:44', '0.5640473365783691')
('12:51:20', '12:51:20', '0.5801007747650146')
('12:51:22', '12:51:22', '0.6147034168243408')
('12:51:25', '12:51:25', '0.5789740085601807')
('12:51:28', '12:51:28', '0.5082206726074219')
('12:51:31', '12:51:31', '0.6515743732452393')
('12:51:34', '12:51:34', '0.675328254699707')
('12:51:37', '12:51:37', '0.6717731952667236')
('12:51:40', '12:51:40', '0.6438882350921631')
('12:51:43', '12:51:43', '0.5398271083831787')
