('12:25:44', '12:25:44', '2.1013827323913574')
('12:25:48', '12:25:48', '2.1007211208343506')
('12:25:53', '12:25:53', '2.1007654666900635')
('12:25:57', '12:25:57', '2.1022512912750244')
('12:26:02', '12:26:02', '2.1011242866516113')
('12:26:06', '12:26:06', '2.102569580078125')
('12:26:11', '12:26:11', '2.1013503074645996')
('12:26:15', '12:26:15', '2.1022708415985107')
('12:26:19', '12:26:19', '2.1029019355773926')
('12:26:24', '12:26:24', '2.1013612747192383')
('12:31:13', '12:31:13', '0.7985084056854248')
('12:31:16', '12:31:16', '0.6692368984222412')
('12:31:19', '12:31:19', '0.6396348476409912')
('12:31:22', '12:31:22', '0.6756699085235596')
('12:31:25', '12:31:25', '0.6772153377532959')
('12:31:28', '12:31:28', '0.6237959861755371')
('12:31:31', '12:31:31', '0.7922732830047607')
('12:31:34', '12:31:34', '0.6997156143188477')
('12:31:37', '12:31:37', '0.6818990707397461')
('12:31:40', '12:31:40', '0.7877707481384277')
('12:31:44', '12:31:44', '0.6351332664489746')
('12:33:03', '12:33:03', '0.6298272609710693')
('12:33:06', '12:33:06', '0.5967471599578857')
('12:33:09', '12:33:09', '0.6731555461883545')
('12:33:12', '12:33:12', '0.4819211959838867')
('12:33:15', '12:33:15', '0.528071403503418')
('12:33:18', '12:33:18', '0.5820813179016113')
('12:33:20', '12:33:20', '0.6448783874511719')
('12:33:23', '12:33:23', '0.48982858657836914')
('12:33:26', '12:33:26', '0.6655774116516113')
('12:33:29', '12:33:29', '0.6567666530609131')
('12:33:32', '12:33:32', '0.6100180149078369')
('12:33:35', '12:33:35', '0.5287516117095947')
('12:33:38', '12:33:38', '0.48529577255249023')
('12:33:41', '12:33:41', '0.5241327285766602')
('12:33:44', '12:33:44', '0.6632015705108643')
('12:33:47', '12:33:47', '0.6591105461120605')
('12:33:50', '12:33:50', '0.6602182388305664')
('12:33:53', '12:33:53', '0.6553945541381836')
