('21:48:04', '21:48:05', '736.4799976348877')
('21:48:06', '21:48:06', '740.3008937835693')
('21:48:07', '21:48:07', '769.6683406829834')
('21:48:08', '21:48:08', '722.9006290435791')
('21:48:09', '21:48:10', '764.1956806182861')
('21:48:11', '21:48:11', '752.495288848877')
('21:48:12', '21:48:12', '-3631467.349767685')
('20:47:41', '20:47:41', '766.106128692627')
('20:47:42', '20:47:42', '754.9741268157959')
('20:47:43', '20:47:44', '760.399580001831')
('20:47:45', '20:47:45', '754.0664672851562')
('20:47:46', '20:47:46', '758.3129405975342')
('20:47:47', '20:47:47', '3633006.762981415')
('21:48:21', '20:47:48', '-3631705.6357860565')
('20:47:49', '20:47:50', '762.3336315155029')
('20:47:51', '20:47:51', '788.6068820953369')
('20:47:52', '20:47:52', '783.8807106018066')
('20:47:53', '20:47:54', '747.9302883148193')
('20:47:54', '20:47:55', '763.4098529815674')
('20:47:56', '20:47:56', '772.028923034668')
('20:47:57', '20:47:57', '3633181.7243099213')
('21:48:31', '20:47:58', '-3631710.0982666016')
('20:47:59', '20:48:00', '775.6402492523193')
('20:48:01', '20:48:01', '739.3476963043213')
('20:48:02', '20:48:02', '720.0343608856201')
('22:09:40', '22:09:41', '1349.9846458435059')
('22:09:42', '22:09:43', '1545.4859733581543')
('22:09:44', '22:09:45', '1369.8339462280273')
('22:09:46', '22:09:47', '1349.7428894042969')
('22:09:48', '22:09:48', '1372.4677562713623')
('22:09:50', '22:09:50', '1342.0047760009766')
('22:09:51', '22:09:52', '1359.9708080291748')
('23:10:26', '22:09:54', '-3631327.95214653')
('22:09:55', '22:09:56', '1364.417552947998')
('22:09:57', '22:09:58', '1350.7671356201172')
('22:09:59', '22:10:00', '1344.0701961517334')
('22:10:01', '22:10:01', '1336.9715213775635')
('22:10:03', '23:10:36', '1325.3674507141113')
('22:10:04', '22:10:05', '1337.2206687927246')
('22:10:06', '22:10:07', '1366.3544654846191')
('22:10:08', '22:10:09', '1381.3893795013428')
('22:10:10', '22:10:10', '1345.4406261444092')
('22:10:12', '22:10:12', '1373.5206127166748')
('23:10:46', '22:10:14', '-3631513.187646866')
('22:10:15', '22:10:16', '1365.6260967254639')
('22:10:17', '22:10:18', '1345.5171585083008')
('22:10:19', '22:10:20', '1359.492301940918')
('22:10:21', '22:10:21', '1358.7164878845215')
('22:10:23', '23:10:56', '1389.7345066070557')
('22:10:24', '22:10:25', '1340.294361114502')
('22:10:26', '22:10:27', '1360.091209411621')
('22:10:28', '22:10:29', '1354.3100357055664')
('22:10:30', '22:10:31', '1366.2474155426025')
('22:10:32', '22:10:33', '3634191.1182403564')
('22:10:34', '22:10:34', '1349.4555950164795')
('22:10:36', '22:10:36', '1351.832628250122')
('22:10:37', '22:10:38', '1351.229190826416')
('22:10:39', '22:10:40', '1385.4811191558838')
('22:10:41', '22:10:42', '1359.882116317749')
('22:10:43', '23:11:16', '1119.3866729736328')
('22:10:45', '22:10:45', '1347.69606590271')
('22:10:46', '22:10:47', '1341.6204452514648')
('22:10:48', '22:10:49', '1371.7894554138184')
('22:10:50', '22:10:51', '1338.010311126709')
('22:10:52', '22:10:53', '3634388.785600662')
('09:04:58', '09:04:58', '1368.3092594146729')
('09:04:59', '09:05:00', '1360.067367553711')
('09:05:01', '09:05:02', '1355.799674987793')
('09:05:03', '09:05:04', '1360.53466796875')
('09:05:05', '09:05:06', '1345.9601402282715')
('09:17:09', '09:17:09', '1334.4783782958984')
('09:17:11', '09:17:11', '1355.6277751922607')
('09:17:13', '09:17:13', '1342.686414718628')
