('21:48:00', '21:48:05', '4902.815341949463')
('21:48:05', '21:48:06', '1236.1414432525635')
('21:48:06', '21:48:08', '1263.5796070098877')
('21:48:08', '21:48:09', '1204.5624256134033')
('21:48:09', '21:48:10', '1248.3465671539307')
('21:48:10', '21:48:11', '1261.9729042053223')
('21:48:11', '20:47:40', '-3630963.520526886')
('20:47:40', '20:47:42', '1271.245002746582')
('20:47:42', '20:47:43', '1254.4300556182861')
('20:47:43', '20:47:44', '1269.9663639068604')
('20:47:44', '20:47:45', '1236.3479137420654')
('20:47:45', '20:47:47', '1244.192361831665')
('20:47:47', '21:48:20', '3633488.255262375')
('21:48:20', '20:47:49', '-3631240.4470443726')
('20:47:49', '20:47:50', '1263.6353969573975')
('20:47:50', '20:47:51', '1250.049352645874')
('20:47:51', '20:47:53', '1281.2471389770508')
('20:47:53', '20:47:54', '1232.6879501342773')
('20:47:54', '20:47:55', '1259.7906589508057')
('20:47:55', '20:47:56', '1262.0465755462646')
('20:47:56', '21:48:30', '3633670.972108841')
('21:48:30', '20:47:59', '-3631236.9992733')
('20:47:59', '20:48:00', '1284.409523010254')
('20:48:00', '20:48:01', '1239.7949695587158')
('20:48:01', '20:48:03', '1207.6609134674072')
('22:09:37', '22:09:42', '4602.754831314087')
('22:09:42', '22:09:44', '2047.2240447998047')
('22:09:44', '22:09:45', '1867.8269386291504')
('22:09:45', '22:09:47', '1821.1300373077393')
('22:09:47', '22:09:49', '1851.5830039978027')
('22:09:49', '22:09:51', '1845.9277153015137')
('22:09:51', '22:09:53', '1860.4960441589355')
('22:09:53', '22:09:55', '1931.760549545288')
('22:09:55', '22:09:57', '1828.7456035614014')
('22:09:57', '22:09:58', '1814.3420219421387')
('22:09:58', '22:10:00', '1835.4885578155518')
('22:10:00', '22:10:02', '1821.45094871521')
('22:10:02', '22:10:04', '1794.9297428131104')
('22:10:04', '22:10:06', '1806.943416595459')
('22:10:06', '22:10:07', '1831.4976692199707')
('22:10:07', '22:10:09', '1852.3046970367432')
('22:10:09', '22:10:11', '1813.6169910430908')
('22:10:11', '22:10:13', '1871.791124343872')
('22:10:13', '22:10:15', '1672.3384857177734')
('22:10:15', '22:10:17', '1875.1957416534424')
('22:10:17', '22:10:18', '1814.2564296722412')
('22:10:18', '22:10:20', '1848.4513759613037')
('22:10:20', '22:10:22', '1842.947244644165')
('22:10:22', '22:10:24', '1894.1466808319092')
('22:10:24', '22:10:26', '1855.3836345672607')
('22:10:26', '22:10:28', '1852.4022102355957')
('22:10:28', '22:10:29', '1817.4843788146973')
('22:10:29', '22:10:31', '1871.941328048706')
('22:10:31', '23:11:06', '3634678.798675537')
('23:11:06', '22:10:35', '-3630948.058128357')
('22:10:35', '22:10:37', '1816.5695667266846')
('22:10:37', '22:10:39', '1838.7677669525146')
('22:10:39', '22:10:41', '1847.261667251587')
('22:10:41', '22:10:42', '1853.1746864318848')
('22:10:42', '22:10:44', '1621.8984127044678')
('22:10:44', '22:10:46', '1859.4465255737305')
('22:10:46', '22:10:48', '1837.4273777008057')
('22:10:48', '22:10:50', '1915.4820442199707')
('22:10:50', '22:10:52', '1838.634967803955')
('22:10:52', '23:11:26', '3634859.5249652863')
('09:01:08', '09:04:59', '231408.8580608368')
('09:04:59', '09:05:01', '1829.44917678833')
('09:05:01', '09:05:03', '1845.6695079803467')
('09:05:03', '09:05:04', '1861.677646636963')
('09:05:04', '09:16:30', '685198.1077194214')
('09:16:30', '09:16:30', '501.7087459564209')
('09:16:30', '09:16:31', '480.2978038787842')
('09:16:31', '09:16:31', '484.27343368530273')
('09:16:31', '09:16:32', '468.5406684875488')
('09:16:32', '09:17:10', '38722.94902801514')
('09:17:10', '09:17:12', '1928.93648147583')
