('11:51:26', '11:51:26', '0.17374753952026367')
('11:51:29', '11:51:29', '0.17354750633239746')
('11:51:32', '11:51:32', '0.19324851036071777')
('11:51:34', '11:51:35', '0.20878195762634277')
('11:51:37', '11:51:37', '0.18453216552734375')
('11:51:40', '11:51:40', '0.18408203125')
('11:51:43', '11:51:43', '0.17851853370666504')
('11:51:46', '11:51:46', '0.20282292366027832')
('11:51:49', '11:51:49', '0.20163297653198242')
('11:51:52', '11:51:52', '0.1753232479095459')
('11:51:55', '11:51:55', '0.17779183387756348')
('11:51:58', '11:51:58', '0.1897587776184082')
('11:52:01', '11:52:01', '0.20071911811828613')
('11:52:04', '11:52:04', '0.18249964714050293')
('11:52:07', '11:52:07', '0.17265009880065918')
('11:52:10', '11:52:10', '0.19492745399475098')
('12:04:24', '12:04:24', '0.2030620574951172')
('12:05:12', '12:05:12', '0.21152305603027344')
('12:05:15', '12:05:15', '0.18708062171936035')
('12:05:18', '12:05:18', '0.17343711853027344')
('12:05:20', '12:05:21', '0.20302844047546387')
('12:05:23', '12:05:24', '0.197739839553833')
('12:05:26', '12:05:26', '0.17557096481323242')
('12:05:29', '12:05:29', '0.20287394523620605')
('12:05:32', '12:05:32', '0.20528793334960938')
('12:05:35', '12:05:35', '0.1951580047607422')
('12:05:38', '12:05:38', '0.20806217193603516')
('12:05:41', '12:05:41', '0.19936728477478027')
('12:05:44', '12:05:44', '0.19144225120544434')
('12:05:47', '12:05:47', '0.18226146697998047')
('12:05:50', '12:05:50', '0.2023928165435791')
('12:05:53', '12:05:53', '0.19864821434020996')
('12:20:05', '12:20:05', '0.2109363079071045')
('12:20:08', '12:20:08', '0.20141386985778809')
('12:20:11', '12:20:11', '0.18620657920837402')
('12:20:14', '12:20:15', '0.19908738136291504')
('12:20:18', '12:20:18', '0.19912099838256836')
('12:20:21', '12:20:21', '0.19812226295471191')
('12:20:24', '12:20:24', '0.20240163803100586')
('12:20:27', '12:20:27', '0.17913317680358887')
('12:20:31', '12:20:31', '0.20183157920837402')
('12:21:19', '12:21:19', '0.18179607391357422')
('12:21:22', '12:21:22', '0.20779037475585938')
('12:21:25', '12:21:26', '0.17068004608154297')
('12:21:29', '12:21:29', '0.18832945823669434')
('12:21:32', '12:21:32', '0.1749739646911621')
('12:21:35', '12:21:35', '0.19966554641723633')
('12:21:38', '12:21:39', '0.1999521255493164')
('12:21:42', '12:21:42', '0.17246603965759277')
('12:21:45', '12:21:45', '0.2063148021697998')
('12:21:48', '12:21:48', '0.19449925422668457')
('12:21:51', '12:21:51', '0.1693706512451172')
('12:21:55', '12:21:55', '0.1723947525024414')
('12:21:58', '12:21:58', '0.20744967460632324')
('12:22:01', '12:22:01', '0.20453429222106934')
('12:22:04', '12:22:04', '0.217820405960083')
('12:22:08', '12:22:08', '0.2114274501800537')
('12:22:11', '12:22:11', '0.18846702575683594')
('12:25:45', '12:25:45', '0.2059319019317627')
('12:25:49', '12:25:50', '0.18355011940002441')
('12:25:54', '12:25:54', '0.17302489280700684')
('12:25:58', '12:25:59', '0.1826326847076416')
('12:26:03', '12:26:03', '0.19719839096069336')
('12:26:07', '12:26:07', '0.20566201210021973')
('12:26:12', '12:26:12', '0.20110487937927246')
('12:26:16', '12:26:16', '0.20310735702514648')
('12:26:21', '12:26:21', '0.20144939422607422')
('12:26:25', '12:26:25', '0.2133338451385498')
('12:26:29', '12:26:30', '0.2032470703125')
('12:31:14', '12:31:14', '0.19490742683410645')
('12:31:17', '12:31:18', '0.18678617477416992')
('12:31:20', '12:31:21', '0.1695568561553955')
('12:31:23', '12:31:24', '0.20484089851379395')
('12:31:26', '12:31:27', '0.17137670516967773')
('12:31:29', '12:31:30', '0.1904134750366211')
('12:31:32', '12:31:33', '0.20207905769348145')
('12:31:36', '12:31:36', '0.17529702186584473')
('12:31:39', '12:31:39', '0.1944262981414795')
('12:31:42', '12:31:42', '0.21089744567871094')
('12:31:45', '12:31:45', '0.18313384056091309')
('12:31:48', '12:31:48', '0.19837236404418945')
('12:33:04', '12:33:04', '0.19270563125610352')
('12:33:07', '12:33:07', '0.1883995532989502')
('12:33:10', '12:33:10', '0.18818330764770508')
('12:33:13', '12:33:13', '0.19406652450561523')
('12:33:16', '12:33:16', '0.18001365661621094')
('12:33:19', '12:33:19', '0.17752981185913086')
('12:33:22', '12:33:22', '0.17887234687805176')
('12:33:25', '12:33:25', '0.2028946876525879')
('12:33:27', '12:33:28', '0.2075340747833252')
('12:33:30', '12:33:31', '0.20129179954528809')
('12:33:33', '12:33:33', '0.17110157012939453')
('12:33:36', '12:33:36', '0.1733412742614746')
('12:33:39', '12:33:39', '0.20595479011535645')
('12:33:42', '12:33:42', '0.20681262016296387')
('12:33:45', '12:33:45', '0.19996881484985352')
('12:33:48', '12:33:48', '0.19968628883361816')
('12:33:51', '12:33:51', '0.19935154914855957')
('12:33:54', '12:33:54', '0.20849394798278809')
('12:33:57', '12:33:57', '0.18173575401306152')
