('21:48:04', '21:48:05', '1219.1367149353027')
('21:48:05', '21:48:06', '1234.5902919769287')
('21:48:06', '21:48:08', '1259.6547603607178')
('21:48:08', '21:48:09', '1203.1900882720947')
('21:48:09', '21:48:10', '1244.9190616607666')
('21:48:10', '21:48:11', '1242.9375648498535')
('21:48:11', '20:47:40', '-3630970.023393631')
('20:47:40', '20:47:42', '1268.916130065918')
('20:47:42', '20:47:43', '1252.896785736084')
('20:47:43', '20:47:44', '1267.3070430755615')
('20:47:44', '20:47:45', '1233.4496974945068')
('20:47:45', '20:47:47', '1239.1040325164795')
('20:47:47', '21:48:20', '3633483.5138320923')
('21:48:20', '20:47:49', '-3631241.5199279785')
('20:47:49', '20:47:50', '1257.7991485595703')
('20:47:50', '20:47:51', '1246.6471195220947')
('20:47:51', '20:47:53', '1278.6314487457275')
('20:47:53', '20:47:54', '1229.2695045471191')
('20:47:54', '20:47:55', '1258.6476802825928')
('20:47:55', '20:47:56', '1258.739709854126')
('20:47:56', '21:48:30', '3633662.119626999')
('21:48:30', '20:47:59', '-3631239.425420761')
('20:47:59', '20:48:00', '1278.4233093261719')
('20:48:00', '20:48:01', '1232.7046394348145')
('22:09:40', '22:09:42', '1841.6640758514404')
('22:09:42', '22:09:44', '2044.72017288208')
('22:09:44', '22:09:45', '1865.6487464904785')
('22:09:45', '22:09:47', '1819.7295665740967')
('22:09:47', '22:09:49', '1849.3874073028564')
('22:09:49', '22:09:51', '1844.517469406128')
('22:09:51', '22:09:53', '1859.2023849487305')
('22:09:53', '22:09:55', '1927.9301166534424')
('22:09:55', '22:09:57', '1827.3427486419678')
('22:09:57', '22:09:58', '1811.232089996338')
('22:09:58', '22:10:00', '1832.1783542633057')
('22:10:00', '22:10:02', '1820.2478885650635')
('22:10:02', '22:10:04', '1793.9560413360596')
('22:10:04', '22:10:06', '1803.6887645721436')
('22:10:06', '22:10:07', '1830.2028179168701')
('22:10:07', '22:10:09', '1849.0359783172607')
('22:10:09', '22:10:11', '1811.3367557525635')
('22:10:11', '22:10:13', '1870.2492713928223')
('22:10:13', '22:10:15', '1670.7754135131836')
('22:10:15', '22:10:17', '1868.2994842529297')
('22:10:17', '22:10:18', '1812.1817111968994')
('22:10:18', '22:10:20', '1841.3538932800293')
('22:10:20', '22:10:22', '1841.3362503051758')
('22:10:22', '22:10:24', '1891.735553741455')
('22:10:24', '22:10:26', '1853.5699844360352')
('22:10:26', '22:10:28', '1850.3477573394775')
('22:10:28', '22:10:29', '1815.281629562378')
('22:10:29', '22:10:31', '1868.5309886932373')
('22:10:31', '23:11:06', '3634673.5892295837')
('23:11:06', '22:10:35', '-3630949.955701828')
('22:10:35', '22:10:37', '1814.8815631866455')
('22:10:37', '22:10:39', '1836.4567756652832')
('22:10:39', '22:10:41', '1846.1523056030273')
('22:10:41', '22:10:42', '1850.048303604126')
('22:10:42', '22:10:44', '1620.3911304473877')
('22:10:44', '22:10:46', '1857.5754165649414')
('22:10:46', '22:10:48', '1834.7859382629395')
('22:10:48', '22:10:50', '1914.067268371582')
('22:10:50', '22:10:52', '1837.4052047729492')
('22:10:52', '23:11:26', '3634854.9020290375')
('09:04:57', '09:04:59', '1831.233024597168')
('09:04:59', '09:05:01', '1827.5692462921143')
('09:05:01', '09:05:03', '1842.564582824707')
('09:05:03', '09:05:04', '1860.3193759918213')
('09:16:29', '09:16:30', '493.90292167663574')
('09:16:30', '09:16:30', '497.67208099365234')
('09:16:30', '09:16:31', '478.92284393310547')
('09:16:31', '09:16:31', '482.65528678894043')
('09:16:31', '09:16:32', '466.24279022216797')
('09:17:08', '09:17:10', '1901.0953903198242')
('09:17:10', '09:17:12', '1925.55570602417')
('09:17:12', '09:17:14', '1919.2688465118408')
