('11:16:05', '11:16:05', '0.007086753845214844')
('11:29:24', '11:29:24', '0.006846904754638672')
('11:33:34', '11:33:34', '0.0064411163330078125')
('11:35:28', '11:35:28', '0.006295204162597656')
('11:37:54', '11:37:54', '0.011258602142333984')
('11:41:19', '11:41:19', '0.006955385208129883')
('11:48:00', '11:48:00', '0.009193181991577148')
('11:51:24', '11:51:24', '0.006992340087890625')
('12:04:22', '12:04:22', '0.007182598114013672')
('12:05:10', '12:05:10', '0.0070879459381103516')
('12:20:03', '12:20:04', '0.006428956985473633')
('12:21:18', '12:21:18', '0.007833719253540039')
('12:25:44', '12:25:44', '0.006706953048706055')
('12:28:35', '12:28:35', '0.010126113891601562')
('12:31:13', '12:31:13', '0.015646934509277344')
('12:33:03', '12:33:03', '0.00885319709777832')
('12:48:35', '12:48:35', '0.007988452911376953')
('12:50:21', '12:50:21', '0.00925135612487793')
('12:51:19', '12:51:20', '0.007155656814575195')
('17:22:34', '17:22:34', '0.007122039794921875')
('17:23:53', '17:23:53', '0.006445169448852539')
('17:38:11', '17:38:11', '0.008325815200805664')
('17:45:05', '17:45:05', '0.006398439407348633')
('17:53:17', '17:53:17', '0.006628990173339844')
('17:56:47', '17:56:47', '0.006180763244628906')
('20:46:28', '20:46:28', '0.006402730941772461')
('20:49:37', '20:49:37', '0.007554769515991211')
('21:22:23', '21:22:23', '0.006338834762573242')
('21:28:40', '21:28:40', '0.00703883171081543')
('21:31:06', '21:31:06', '0.006110668182373047')
('21:31:12', '21:31:12', '0.0066335201263427734')
('22:10:06', '22:10:06', '0.006456136703491211')
('22:12:01', '22:12:02', '0.008249282836914062')
('12:50:11', '12:50:11', '0.018944501876831055')
('12:50:48', '13:51:14', '0.013346433639526367')
('13:40:50', '13:40:50', '0.006329774856567383')
('13:35:02', '13:35:02', '0.005896806716918945')
('13:42:20', '13:42:20', '0.005766868591308594')
('14:43:49', '14:43:49', '0.005699872970581055')
('13:44:10', '13:44:10', '0.005408763885498047')
('13:45:47', '13:45:47', '0.006252288818359375')
('13:48:43', '13:48:43', '0.0053844451904296875')
('14:51:09', '14:51:09', '0.00606226921081543')
('14:54:01', '14:54:01', '0.006245613098144531')
('14:55:23', '14:55:23', '0.005762338638305664')
('14:07:52', '14:07:52', '0.005732297897338867')
('10:52:06', '10:52:07', '0.011866569519042969')
('10:55:10', '10:55:10', '0.005856752395629883')
('10:56:55', '10:56:55', '0.00654292106628418')
('10:57:06', '10:57:06', '0.012039422988891602')
('10:57:26', '10:57:26', '0.02420806884765625')
('10:58:39', '10:58:39', '0.0056912899017333984')
('10:23:31', '10:23:31', '0.00534367561340332')
('10:29:26', '10:29:27', '0.00787806510925293')
('10:29:36', '10:29:36', '0.012126684188842773')
('10:30:09', '10:30:09', '0.0055849552154541016')
('10:31:14', '10:31:14', '0.03803539276123047')
('10:32:36', '10:32:36', '0.005782604217529297')
('10:37:22', '10:37:22', '0.0062541961669921875')
('10:37:29', '10:37:29', '0.005615711212158203')
('10:51:51', '10:51:51', '0.005930900573730469')
('10:52:01', '10:52:02', '0.005798816680908203')
('10:52:08', '10:52:08', '0.005489349365234375')
('10:55:11', '10:55:11', '0.005526304244995117')
('10:55:18', '10:55:18', '0.005600690841674805')
('10:55:51', '10:55:51', '0.005501985549926758')
('10:56:28', '10:56:28', '0.005444049835205078')
('11:00:04', '11:00:04', '0.009489297866821289')
('11:00:15', '11:00:15', '0.005491971969604492')
('12:31:29', '12:31:29', '0.006132602691650391')
('12:31:49', '12:31:49', '0.005861520767211914')
('12:32:09', '12:32:09', '0.007935523986816406')
('12:32:18', '12:32:18', '0.0057833194732666016')
('12:33:13', '12:33:13', '0.005552768707275391')
('12:34:35', '12:34:35', '0.00561833381652832')
('12:37:02', '12:37:02', '0.021753787994384766')
('12:38:15', '12:38:15', '0.006945371627807617')
('12:39:29', '12:39:29', '0.005679130554199219')
('12:39:41', '12:39:41', '0.005461692810058594')
('13:01:42', '13:01:42', '0.0055081844329833984')
('13:01:59', '13:01:59', '0.005979776382446289')
('13:02:34', '13:02:34', '0.005792856216430664')
('13:03:01', '13:03:01', '0.005864381790161133')
('13:03:46', '13:03:47', '0.01183629035949707')
('13:04:08', '13:04:09', '0.005708932876586914')
('13:04:28', '13:04:28', '0.005890846252441406')
('13:06:59', '13:07:00', '0.006174802780151367')
('13:19:47', '13:19:47', '0.004201173782348633')
('13:20:38', '13:20:38', '0.004088878631591797')
('14:48:21', '14:48:21', '0.007211446762084961')
('14:48:46', '14:48:46', '0.006302356719970703')
('14:49:15', '14:49:15', '0.005398988723754883')
('14:49:33', '14:49:33', '0.005618095397949219')
('21:48:14', '21:48:15', '0.004340171813964844')
('22:53:51', '22:53:51', '0.011810779571533203')
('23:39:36', '23:39:36', '0.0056765079498291016')
('22:40:30', '22:40:30', '0.0061719417572021484')
('23:43:57', '23:43:57', '0.0061991214752197266')
('23:50:29', '23:50:29', '0.00599217414855957')
('00:09:19', '00:09:19', '0.005563259124755859')
('07:47:30', '07:47:30', '0.00614166259765625')
('07:56:02', '07:56:03', '0.013711690902709961')
('07:56:23', '07:56:24', '0.01347041130065918')
('08:05:39', '08:05:39', '0.022727489471435547')
('08:22:09', '08:22:09', '0.01425790786743164')
('08:28:24', '08:28:24', '0.015027284622192383')
('11:27:59', '11:28:00', '0.009830951690673828')
('11:39:12', '11:39:12', '0.006135225296020508')
('11:48:46', '11:48:46', '0.005762815475463867')
('11:51:17', '11:51:17', '0.012446880340576172')
('11:52:21', '11:52:21', '0.006075143814086914')
('11:53:55', '11:53:55', '0.0068264007568359375')
('11:56:24', '11:56:24', '0.007548332214355469')
('12:08:08', '12:08:08', '0.012210369110107422')
('13:43:07', '13:43:07', '0.00600743293762207')
('13:44:27', '13:44:27', '0.007118940353393555')
('13:45:31', '13:45:31', '0.006219148635864258')
('13:47:43', '13:47:43', '0.009478330612182617')
('13:48:48', '13:48:48', '0.006195545196533203')
('14:54:47', '14:54:47', '0.005922079086303711')
('14:57:12', '14:57:12', '0.006239891052246094')
('15:04:30', '15:04:30', '0.006169319152832031')
('15:04:38', '15:04:38', '0.0060923099517822266')
('14:14:01', '14:14:01', '0.006697654724121094')
('14:16:59', '14:16:59', '0.00608515739440918')
('14:18:36', '14:18:36', '0.0058057308197021484')
('20:04:03', '20:04:04', '0.012693166732788086')
